workload_nops,threads,lock,iterations,run_idx,time_ms_normalized_to_1m_iters
0,4,mcs,1000000,2,406.150000
0,4,mcs,1000000,3,409.999000
0,4,mcs,1000000,4,412.381000
0,4,mcs,1000000,5,390.906000
0,4,mcs,1000000,6,394.968000
0,4,pspin,1000000,0,358.820000
0,4,pspin,1000000,1,376.980000
0,4,pspin,1000000,2,388.372000
0,4,pspin,1000000,3,375.361000
0,4,pspin,1000000,4,353.057000
0,4,pspin,1000000,5,359.005000
0,4,pspin,1000000,6,410.337000
0,8,ttas,1000000,0,117.790000
0,8,ttas,1000000,1,124.348000
0,8,ttas,1000000,2,141.988000
0,8,ttas,1000000,3,166.105000
0,8,ttas,1000000,4,110.547000
0,8,ttas,1000000,5,124.338000
0,8,ttas,1000000,6,116.902000
0,8,pspin,1000000,0,1418.189000
0,8,pspin,1000000,1,1508.779000
0,8,pspin,1000000,2,1620.070000
0,8,pspin,1000000,3,1410.739000
0,8,pspin,1000000,4,1364.074000
0,8,pspin,1000000,5,1503.696000
0,8,pspin,1000000,6,1425.387000
16,1,ttas,1000000,0,5.634000
16,1,ttas,1000000,1,5.781000
16,1,ttas,1000000,2,5.392000
16,1,ttas,1000000,3,5.368000
16,1,ttas,1000000,4,5.405000
16,1,ttas,1000000,5,5.385000
16,1,ttas,1000000,6,5.388000
16,1,mcs,1000000,0,15.257000
16,1,mcs,1000000,1,15.685000
16,1,mcs,1000000,2,15.144000
16,1,mcs,1000000,3,14.674000
16,1,mcs,1000000,4,14.798000
16,1,mcs,1000000,5,14.816000
16,1,mcs,1000000,6,14.848000
16,1,pspin,1000000,0,8.180000
16,1,pspin,1000000,1,8.909000
16,1,pspin,1000000,2,8.225000
16,1,pspin,1000000,3,8.090000
16,1,pspin,1000000,4,8.143000
16,1,pspin,1000000,5,8.204000
16,1,pspin,1000000,6,8.162000
16,2,ttas,1000000,0,13.863000
16,2,ttas,1000000,1,15.993000
16,2,ttas,1000000,2,16.376000
16,2,ttas,1000000,3,12.865000
16,2,ttas,1000000,4,11.389000
16,2,ttas,1000000,5,11.791000
16,2,ttas,1000000,6,12.437000
16,2,mcs,1000000,0,232.592000
16,2,mcs,1000000,1,236.774000
16,2,mcs,1000000,2,226.396000
16,2,mcs,1000000,3,216.295000
16,2,mcs,1000000,4,234.651000
16,2,mcs,1000000,5,230.004000
16,2,mcs,1000000,6,216.876000
16,2,pspin,1000000,0,109.638000
16,2,pspin,1000000,1,118.587000
16,2,pspin,1000000,2,67.777000
16,2,pspin,1000000,3,109.376000
16,2,pspin,1000000,4,115.637000
16,2,pspin,1000000,5,105.878000
16,2,pspin,1000000,6,115.291000
16,4,ttas,1000000,0,28.157000
16,4,ttas,1000000,1,29.026000
16,4,ttas,1000000,2,34.803000
